Actual,Predicted
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
130779.0,
4908.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.125,
24.142857144,
165.892857141,
504.10714285,
1116.85714286,
2154.24999996,
3483.3392857,
5414.4821427,
8076.8214285,
10794.6607142,
13581.0535714,
17065.3035716,
21327.767857,
24857.035713999998,
29155.642857,
34038.017856,
39706.446428,
44739.875,
50157.589286,
56142.678572,
61854.625,
68351.964285,
75207.964286,
81300.02976,
86055.964287,
91072.142857,
96224.946429,
101040.589286,
106043.5,
108532.285716,
113827.071428,
118395.124999,
123746.142857,
127161.410715,
129928.267858,
133314.035715,
138772.0,
143098.803571,
147282.589284,
150319.964283,
153352.696429,
156142.577382,
158513.749999,
160702.178571,
162235.892856,
163210.642856,
164033.767858,
164656.30357,
164965.053571,
165077.624999,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
165106.0,
155005.285714,
5682.25,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
7.339285716,
121.321428572,
414.73214286,
928.03571428,
1662.14285715,
2825.1785713,
4567.0892857,
5961.6785714,
6745.5357143,
7431.8928572,
8296.5178572,
9309.9285712,
10340.0714286,
11258.0178569,
12132.7857143,
12910.2321429,
13802.6428572,
14833.357143,
16273.9285715,
18590.8392858,
21978.9999989,
25559.053573,
28933.196428,
31911.571428,
35695.571429999996,
40393.285713,
44868.625001,
49152.267858,
53766.767857,
58131.357143,
64046.482142,
70692.428572,
77105.910715,
80611.017857,
83774.678573,
87074.74999899999,
91101.035714,
95209.75,
99486.37499899999,
103413.803571,
